Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.6810 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.9532 ms; Backtracki: 27;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.7167 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.8745 ms; Backtracki: 16;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.7963 ms; Backtracki: 16;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.80; Czas: 0.7668 ms; Backtracki: 14;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2983 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2517 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2526 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2912 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2779 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2127 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2656 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.3039 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2784 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.90; Czas: 0.2465 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.7554 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.7134 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.6937 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.7427 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.7836 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.8471 ms; Backtracki: 13;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.6787 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.8041 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.9099 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 20; Nasycenie: 0.90; Czas: 0.6779 ms; Backtracki: 13;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5716 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5676 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5359 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.6011 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5546 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5110 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5981 ms; Backtracki: 10;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5961 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.5293 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.50; Czas: 0.6736 ms; Backtracki: 8;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.6048 ms; Backtracki: 16;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.6715 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.7227 ms; Backtracki: 17;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.6281 ms; Backtracki: 15;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.7668 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.6013 ms; Backtracki: 15;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.7822 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.6270 ms; Backtracki: 15;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.5930 ms; Backtracki: 14;
Operacja: SEC; Typ: skierowany; n: 30; Nasycenie: 0.50; Czas: 1.5810 ms; Backtracki: 15;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.6648 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.6121 ms; Backtracki: 9;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.7843 ms; Backtracki: 9;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.6296 ms; Backtracki: 10;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.6002 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 30; Nasycenie: 0.60; Czas: 0.6030 ms; Backtracki: 8;
