Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0039 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0034 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0033 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0032 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0050 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0037 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.30; Czas: 0.0034 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0051 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0051 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0048 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0049 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0049 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0048 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0047 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0060 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0056 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.30; Czas: 0.0051 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0040 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0038 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0039 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0038 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0035 ms;
Operacja: DHC; Typ: nieskierowany; n: 4; Nasycenie: 0.40; Czas: 0.0035 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0057 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0055 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0050 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0046 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0052 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0049 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0044 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0049 ms;
Operacja: DHC; Typ: skierowany; n: 4; Nasycenie: 0.40; Czas: 0.0052 ms;
